Time,RA2,RA1,
6.3000211e-05,3.12000e-01,-0.00000e+00,
6.3200212e-05,3.60000e-01,-0.00000e+00,
6.3400214e-05,3.12000e-01,1.60000e-01,
6.3600215e-05,3.56000e-01,7.99999e-02,
6.3800217e-05,3.24000e-01,-0.00000e+00,
6.4000218e-05,3.28000e-01,7.99999e-02,
6.4200220e-05,3.48000e-01,-0.00000e+00,
6.4400221e-05,3.48000e-01,7.99999e-02,
6.4600223e-05,3.32000e-01,7.99999e-02,
6.4800224e-05,3.36000e-01,-0.00000e+00,
6.5000226e-05,3.48000e-01,7.99999e-02,
6.5200227e-05,3.48000e-01,7.99999e-02,
6.5400229e-05,3.40000e-01,7.99999e-02,
6.5600230e-05,3.44000e-01,-0.00000e+00,
6.5800232e-05,3.48000e-01,7.99999e-02,
6.6000233e-05,3.44000e-01,7.99999e-02,
6.6200235e-05,3.52000e-01,7.99999e-02,
6.6400236e-05,3.52000e-01,7.99999e-02,
6.6600238e-05,3.48000e-01,-0.00000e+00,
6.6800239e-05,3.40000e-01,7.99999e-02,
6.7000241e-05,3.64000e-01,-0.00000e+00,
6.7200242e-05,3.40000e-01,7.99999e-02,
6.7400244e-05,3.64000e-01,-0.00000e+00,
6.7600246e-05,3.60000e-01,7.99999e-02,
6.7800247e-05,3.48000e-01,-0.00000e+00,
6.8000249e-05,3.52000e-01,7.99999e-02,
6.8200250e-05,3.64000e-01,-0.00000e+00,
6.8400252e-05,3.64000e-01,7.99999e-02,
6.8600253e-05,3.56000e-01,-0.00000e+00,
6.8800255e-05,3.60000e-01,7.99999e-02,
6.9000256e-05,3.64000e-01,-0.00000e+00,
6.9200258e-05,3.60000e-01,7.99999e-02,
6.9400259e-05,3.68000e-01,-0.00000e+00,
6.9600261e-05,3.68000e-01,7.99999e-02,
6.9800262e-05,3.64000e-01,-0.00000e+00,
7.0000264e-05,3.64000e-01,7.99999e-02,
7.0200265e-05,3.72000e-01,7.99999e-02,
7.0400267e-05,3.72000e-01,7.99999e-02,
7.0600268e-05,3.64000e-01,-0.00000e+00,
7.0800270e-05,3.68000e-01,7.99999e-02,
7.1000271e-05,3.76000e-01,-0.00000e+00,
7.1200273e-05,3.76000e-01,7.99999e-02,
7.1400274e-05,3.68000e-01,-0.00000e+00,
7.1600276e-05,3.72000e-01,7.99999e-02,
7.1800278e-05,3.80000e-01,-0.00000e+00,
7.2000279e-05,3.76000e-01,7.99999e-02,
7.2200281e-05,3.76000e-01,-0.00000e+00,
7.2400282e-05,3.76000e-01,7.99999e-02,
7.2600284e-05,3.80000e-01,-0.00000e+00,
7.2800285e-05,3.76000e-01,-0.00000e+00,
7.3000287e-05,3.84000e-01,7.99999e-02,
7.3200288e-05,3.96000e-01,7.99999e-02,
7.3400290e-05,3.72000e-01,-0.00000e+00,
7.3600291e-05,3.68000e-01,7.99999e-02,
7.3800293e-05,4.08000e-01,-0.00000e+00,
7.4000294e-05,4.16000e-01,7.99999e-02,
7.4200296e-05,3.60000e-01,-0.00000e+00,
7.4400297e-05,4.12000e-01,7.99999e-02,
7.4600299e-05,3.60000e-01,-0.00000e+00,
7.4800300e-05,3.68000e-01,7.99999e-02,
7.5000302e-05,4.04000e-01,-0.00000e+00,
7.5200303e-05,4.20000e-01,7.99999e-02,
7.5400305e-05,3.72000e-01,-0.00000e+00,
7.5600306e-05,3.80000e-01,-0.00000e+00,
7.5800308e-05,4.08000e-01,7.99999e-02,
7.6000309e-05,4.04000e-01,7.99999e-02,
7.6200311e-05,3.84000e-01,7.99999e-02,
7.6400313e-05,3.88000e-01,-0.00000e+00,
7.6600314e-05,4.04000e-01,7.99999e-02,
7.6800316e-05,3.92000e-01,7.99999e-02,
7.7000317e-05,4.04000e-01,-0.00000e+00,
7.7200319e-05,3.96000e-01,7.99999e-02,
7.7400320e-05,4.04000e-01,7.99999e-02,
7.7600322e-05,4.04000e-01,7.99999e-02,
7.7800323e-05,3.96000e-01,-0.00000e+00,
7.8000325e-05,4.08000e-01,7.99999e-02,
7.8200326e-05,4.00000e-01,-0.00000e+00,
7.8400328e-05,4.04000e-01,7.99999e-02,
7.8600329e-05,4.08000e-01,7.99999e-02,
7.8800331e-05,3.92000e-01,7.99999e-02,
7.9000332e-05,4.16000e-01,-0.00000e+00,
7.9200334e-05,4.00000e-01,7.99999e-02,
7.9400335e-05,4.20000e-01,7.99999e-02,
7.9600337e-05,4.04000e-01,7.99999e-02,
